name,population
"São Benedito do Rio Preto, MA",18608
"São Bento, MA",44811
"São Bernardo, MA",28343
"São Domingos do Azeitão, MA",7363
"São Domingos do Maranhão, MA",34368
"São Félix de Balsas, MA",4609
"São Francisco do Brejão, MA",11652
"São Francisco do Maranhão, MA",12201
"São João Batista, MA",20629
"São João do Carú, MA",15828
"São João do Paraíso, MA",11162
"São João do Soter, MA",18438
"São João dos Patos, MA",25860
"São José de Ribamar, MA",176321
"São José dos Basílios, MA",7642
"São Luís, MA",1094667
"São Luís Gonzaga do Maranhão, MA",18988
"São Mateus do Maranhão, MA",41350
"São Pedro da Água Branca, MA",12645
"São Pedro dos Crentes, MA",4651
"São Raimundo das Mangabeiras, MA",18755
"São Raimundo do Doca Bezerra, MA",5345
"São Roberto, MA",6649
"São Vicente Ferrer, MA",22142
"Satubinha, MA",13730
"Senador Alexandre Costa, MA",11067
"Senador La Rocque, MA",14367
"Serrano do Maranhão, MA",10206
"Sítio Novo, MA",18001
"Sucupira do Norte, MA",10639
"Sucupira do Riachão, MA",5645
"Tasso Fragoso, MA",8459
"Timbiras, MA",29064
"Timon, MA",167973
"Trizidela do Vale, MA",21885
"Tufilândia, MA",5826
"Tuntum, MA",41621
"Turiaçu, MA",35497
"Turilândia, MA",25365
"Tutóia, MA",58311
"Urbano Santos, MA",32775
"Vargem Grande, MA",55841
"Viana, MA",52229
"Vila Nova dos Martírios, MA",13183
"Vitória do Mearim, MA",32664
"Vitorino Freire, MA",31525
"Zé Doca, MA",51471
"Acauã, PI",7065
"Agricolândia, PI",5148
"Água Branca, PI",17349
"Alagoinha do Piauí, PI",7636
"Alegrete do Piauí, PI",4912
"Alto Longá, PI",14268
"Altos, PI",40440
"Alvorada do Gurguéia, PI",5392
"Amarante, PI",17592
"Angical do Piauí, PI",6792
"Anísio de Abreu, PI",9818
"Antônio Almeida, PI",3158
"Aroazes, PI",5844
"Aroeiras do Itaim, PI",2551
"Arraial, PI",4735
"Assunção do Piauí, PI",7828
"Avelino Lopes, PI",11252
"Baixa Grande do Ribeiro, PI",11497
