name,population
"Monroe County, IA",7790
"Montgomery County, IA",10003
"Muscatine County, IA",42929
"O'Brien County, IA",13840
"Osceola County, IA",6040
"Page County, IA",15249
"Palo Alto County, IA",8929
"Plymouth County, IA",25095
"Pocahontas County, IA",6740
"Polk County, IA",487204
"Pottawattamie County, IA",93533
"Poweshiek County, IA",18699
"Ringgold County, IA",4968
"Sac County, IA",9719
"Scott County, IA",173283
"Shelby County, IA",11578
"Sioux County, IA",34909
"Story County, IA",98105
"Tama County, IA",16904
"Taylor County, IA",6191
"Union County, IA",12359
"Van Buren County, IA",7020
"Wapello County, IA",35205
"Warren County, IA",51056
"Washington County, IA",22141
"Wayne County, IA",6401
"Webster County, IA",36277
"Winnebago County, IA",10518
"Winneshiek County, IA",20029
"Woodbury County, IA",102539
"Worth County, IA",7453
"Wright County, IA",12690
"Allen County, KS",12444
"Anderson County, KS",7878
"Atchison County, KS",16193
"Barber County, KS",4472
"Barton County, KS",26111
"Bourbon County, KS",14653
"Brown County, KS",9598
"Butler County, KS",66765
"Chase County, KS",2629
"Chautauqua County, KS",3309
"Cherokee County, KS",20015
"Cheyenne County, KS",2660
"Clark County, KS",2005
"Clay County, KS",7997
"Cloud County, KS",8729
"Coffey County, KS",8233
"Comanche County, KS",1748
"Cowley County, KS",35218
"Crawford County, KS",39019
"Decatur County, KS",2871
"Dickinson County, KS",18717
"Doniphan County, KS",7682
"Douglas County, KS",121436
"Edwards County, KS",2849
"Elk County, KS",2508
"Ellis County, KS",28710
"Ellsworth County, KS",6196
"Finney County, KS",36611
"Ford County, KS",33888
"Franklin County, KS",25631
"Geary County, KS",32594
"Gove County, KS",2612
"Graham County, KS",2492
"Grant County, KS",7336
"Gray County, KS",6033
"Greeley County, KS",1227
"Greenwood County, KS",6055
"Hamilton County, KS",2607
"Harper County, KS",5506
"Harvey County, KS",34210
"Haskell County, KS",3997
"Hodgeman County, KS",1818
"Jackson County, KS",13280
"Jefferson County, KS",18975
"Jewell County, KS",2841
"Johnson County, KS",597555
"Kearny County, KS",3943
"Kingman County, KS",7310
"Kiowa County, KS",2516
"Labette County, KS",19964
"Lane County, KS",1560
"Leavenworth County, KS",81352
"Lincoln County, KS",3023
"Linn County, KS",9750
"Logan County, KS",2844
"Lyon County, KS",33406
"McPherson County, KS",28537
"Marion County, KS",11950
"Marshall County, KS",9722
"Meade County, KS",4146
"Miami County, KS",33680
"Mitchell County, KS",6150
"Montgomery County, KS",32120
"Morris County, KS",5521
"Morton County, KS",2667
"Nemaha County, KS",10155
"Neosho County, KS",15951
"Ness County, KS",2840
"Norton County, KS",5430
"Osage County, KS",15941
"Osborne County, KS",3475
"Ottawa County, KS",5802
"Pawnee County, KS",6562
"Phillips County, KS",5317
"Pottawatomie County, KS",24277
"Pratt County, KS",9378
"Rawlins County, KS",2508
"Reno County, KS",62342
"Republic County, KS",4664
"Rice County, KS",9531
"Riley County, KS",73703
"Rooks County, KS",5013
"Rush County, KS",3093
"Russell County, KS",6907
"Saline County, KS",54401
"Scott County, KS",4897
"Sedgwick County, KS",513607
"Seward County, KS",21780
"Shawnee County, KS",177499
"Sheridan County, KS",2533
"Sherman County, KS",5899
"Smith County, KS",3603
"Stafford County, KS",4178
"Stanton County, KS",1987
"Stevens County, KS",5559
"Sumner County, KS",22996
"Thomas County, KS",7711
"Trego County, KS",2793
"Wabaunsee County, KS",6899
"Wallace County, KS",1503
"Washington County, KS",5420
"Wichita County, KS",2105
"Wilson County, KS",8665
